comments,sub_title,downs,isexpert,user_name,quality_score,created_at,digg,recommend,title,type,url,sourcetype,id,tag,category,strategy,views,desc,nickname,category_id,strategy_id,summary,shown_offset,shown_time,user_url,avatar
0,,0,0,C20190102,0,1天前,6,false,浅谈WQS二分、带权二分、凸优化与一类斜率优化DP,blog,https://blog.csdn.net/C20190102/article/details/102911433,0,102911433,,,其它,42,"幕天题意一个简单的转化二维DP朴素斜率优化带权二分我们先看一道简单题题意分析代码进入正题题目回顾分析加权权与段数的关系单调性两个问题DP朴素DP斜率优化就题论题的分析方法一个普适的结论代码后记除最后一张普适公式外，文中所有图像和公式均为原创，转载请附出处谢谢！！！题意[BZOJ4518]Sdoi2016征途求nnn个数a1,a2,⋯ ,ana_1,a_2,\cdots,a_na1​,...",.Iktsuarpok.,none,u_c_null,"幕天题意一个简单的转化二维DP朴素斜率优化带权二分我们先看一道简单题题意分析代码进入正题题目回顾分析加权权与段数的关系单调性两个问题DP朴素DP斜率优化就题论题的分析方法一个普适的结论代码后记除最后一张普适公式外，文中所有图像和公式均为原创，转载请附出处谢谢！！！题意[BZOJ4518]Sdoi2016征途求nnn个数a1,a2,⋯&thinsp;,ana_1,a_2,\cdots,a_na1​,...",1573106722,1573106722,https://blog.csdn.net/C20190102,https://profile.csdnimg.cn/6/5/5/1_c20190102
1,,0,0,weixin_43107113,0,22小时前,3,false,jmeter组件之JSON Path Extractor（Jason路径提取器）,blog,https://blog.csdn.net/weixin_43107113/article/details/102936469,0,102936469,,,其它,22,有个小游戏礼包测试，开始游戏接口会返回当前场次所有礼包ID（一个Jason串），用户每次点击礼包，前端会随机调用打开礼包接口携带礼包ID为了自动化测试，则必须要解析开始游戏接口返回所有礼包ID，在打开礼包接口中引用此时可以使用JSONPathExtractor1、安装JsonPathExtractor插件，用JSONPathExtractorExample.jmx（在官网下...,跑跑在跑,none,u_c_null,有个小游戏礼包测试，开始游戏接口会返回当前场次所有礼包ID（一个Jason串），用户每次点击礼包，前端会随机调用打开礼包接口携带礼包ID为了自动化测试，则必须要解析开始游戏接口返回所有礼包ID，在打开礼包接口中引用此时可以使用JSONPathExtractor1、安装JsonPathExtractor插件，用JSONPathExtractorExample.jmx（在官网下...,1573106722,1573106722,https://blog.csdn.net/weixin_43107113,https://profile.csdnimg.cn/F/4/0/1_weixin_43107113
94,,0,0,m0_37907797,0,10月21日,1318,false,程序员必须掌握的核心算法有哪些？,blog,https://blog.csdn.net/m0_37907797/article/details/102661778,0,102661778,,,其它,57009,由于我之前一直强调数据结构以及算法学习的重要性，所以就有一些读者经常问我，数据结构与算法应该要学习到哪个程度呢？，说实话，这个问题我不知道要怎么回答你，主要取决于你想学习到哪些程度，不过针对这个问题，我稍微总结一下我学过的算法知识点，以及我觉得值得学习的算法。这些算法与数据结构的学习大多数是零散的，并没有一本把他们全部覆盖的书籍。下面是我觉得值得学习的一些算法以及数据结构，当然，我也会整理一些看过...,帅地,none,u_c_null,由于我之前一直强调数据结构以及算法学习的重要性，所以就有一些读者经常问我，数据结构与算法应该要学习到哪个程度呢？，说实话，这个问题我不知道要怎么回答你，主要取决于你想学习到哪些程度，不过针对这个问题，我稍微总结一下我学过的算法知识点，以及我觉得值得学习的算法。这些算法与数据结构的学习大多数是零散的，并没有一本把他们全部覆盖的书籍。下面是我觉得值得学习的一些算法以及数据结构，当然，我也会整理一些看过...,1573106722,1573106722,https://blog.csdn.net/m0_37907797,https://profile.csdnimg.cn/9/8/5/1_m0_37907797
233,,0,0,ZackSock,0,09月29日,1404,false,C语言实现推箱子游戏,blog,https://blog.csdn.net/ZackSock/article/details/101645494,0,101645494,,,其它,70350,很早就想过做点小游戏了，但是一直没有机会动手。今天闲来无事，动起手来。过程还是蛮顺利的，代码也不是非常难。今天给大家分享一下~一、介绍开发语言：C语言开发工具：Dev-C++5.11日期：2019年9月28日作者：ZackSock也不说太多多余的话了，先看一下效果图：游戏中的人物、箱子、墙壁、球都是字符构成的。通过wasd键移动，规则的话就是推箱子的规则，也就不多说了。二、代...,ZackSock,none,u_c_null,很早就想过做点小游戏了，但是一直没有机会动手。今天闲来无事，动起手来。过程还是蛮顺利的，代码也不是非常难。今天给大家分享一下~一、介绍开发语言：C语言开发工具：Dev-C++5.11日期：2019年9月28日作者：ZackSock也不说太多多余的话了，先看一下效果图：游戏中的人物、箱子、墙壁、球都是字符构成的。通过wasd键移动，规则的话就是推箱子的规则，也就不多说了。二、代...,1573106722,1573106722,https://blog.csdn.net/ZackSock,https://profile.csdnimg.cn/2/2/6/1_zacksock
294,,0,0,qq_40693171,0,09月21日,778,true,我花了一夜用数据结构给女朋友写个H5走迷宫游戏,blog,https://blog.csdn.net/qq_40693171/article/details/100716766,0,100716766,,,其它,128848,起因又到深夜了，我按照以往在csdn和公众号写着数据结构！这占用了我大量的时间！我的超越妹妹严重缺乏陪伴而怨气满满！而女朋友时常埋怨，认为数据结构这么抽象难懂的东西没啥作用，常会问道：天天写这玩意，有啥作用。而我答道：能干事情多了，比如写个迷宫小游戏啥的！当我码完字准备睡觉时：写不好别睡觉！分析如果用数据结构与算法造出东西来呢？...,bigsai(同公众号),none,u_c_null,起因又到深夜了，我按照以往在csdn和公众号写着数据结构！这占用了我大量的时间！我的超越妹妹严重缺乏陪伴而怨气满满！而女朋友时常埋怨，认为数据结构这么抽象难懂的东西没啥作用，常会问道：天天写这玩意，有啥作用。而我答道：能干事情多了，比如写个迷宫小游戏啥的！当我码完字准备睡觉时：写不好别睡觉！分析如果用数据结构与算法造出东西来呢？...,1573106722,1573106722,https://blog.csdn.net/qq_40693171,https://profile.csdnimg.cn/C/E/8/1_qq_40693171
0,,0,0,qq_42725189,0,17小时前,2,false,树上好题选讲2 对应代码,blog,https://blog.csdn.net/qq_42725189/article/details/102942605,0,102942605,,,其它,9,"#include&lt;bits/stdc++.h&gt;#defineN2000005usingnamespacestd;structnode{	intto,nxt;}e[8000005];intn,m,mp[N],id[N],js,z[N],zz,tot,head[N];intld[N],rd[N],bl[N];voidbuild(inta,intb){...",xagadrd,none,u_c_null,"#include&amp;lt;bits/stdc++.h&amp;gt;#defineN2000005usingnamespacestd;structnode{	intto,nxt;}e[8000005];intn,m,mp[N],id[N],js,z[N],zz,tot,head[N];intld[N],rd[N],bl[N];voidbuild(inta,intb){...",1573106722,1573106722,https://blog.csdn.net/qq_42725189,https://profile.csdnimg.cn/5/E/5/1_qq_42725189
1,,0,0,qq_32447301,0,2天前,1,false,PerfDog,blog,https://blog.csdn.net/qq_32447301/article/details/102911116,0,102911116,,,其它,98,WeTest客户端性能测试工具——移动全平台iOS\Android性能测试、分析平台，致力提升全球移动应用和游戏的性能和品质！PerfDog是谁？PerfDog性能狗是移动全平台iOS\Android性能测试工具平台，快速定位分析性能问题，提升APP应用及游戏性能和品质，收集无需ROOT/越狱，手机硬件、游戏及应用无需做任何更改，极简化即插即用。PerfDog提供什么服务？腾讯WeTes...,灬点点,none,u_c_null,WeTest客户端性能测试工具&mdash;&mdash;移动全平台iOS\Android性能测试、分析平台，致力提升全球移动应用和游戏的性能和品质！PerfDog是谁？PerfDog性能狗是移动全平台iOS\Android性能测试工具平台，快速定位分析性能问题，提升APP应用及游戏性能和品质，收集无需ROOT/越狱，手机硬件、游戏及应用无需做任何更改，极简化即插即用。PerfDog提供什么服务？腾讯WeTes...,1573106722,1573106722,https://blog.csdn.net/qq_32447301,https://profile.csdnimg.cn/7/5/D/1_qq_32447301
4,,0,0,weixin_45822638,0,4天前,19,false,java游戏,blog,https://blog.csdn.net/weixin_45822638/article/details/102874288,0,102874288,,,其它,2553,"桌球importjava.awt.*;importjavax.swing.*;publicclassBallGame2extendsJFrame{Imageball=Toolkit.getDefaultToolkit().getImage(""images/1.png"");Imagedesk=Toolkit.getDefaultToolkit().getI...",Army  Fan,none,u_c_null,桌球importjava.awt.*;importjavax.swing.*;publicclassBallGame2extendsJFrame{Imageball=Toolkit.getDefaultToolkit().getImage(&quot;images/1.png&quot;);Imagedesk=Toolkit.getDefaultToolkit().getI...,1573106722,1573106722,https://blog.csdn.net/weixin_45822638,https://profile.csdnimg.cn/2/5/C/1_weixin_45822638
0,,0,0,dengjin20104042056,0,1天前,1,true,【Linux系统编程】信号 (上),blog,https://blog.csdn.net/dengjin20104042056/article/details/102919662,0,102919662,,,其它,89,00.目录文章目录00.目录01.信号概述02.信号编号03.信号产生方式04.kill发送信号05.pause等待信号06.信号处理方式07.信号处理函数08.附录01.信号概述信号是Linux进程间通信的最古老的方式。信号是软件中断，它是在软件层次上对中断机制的一种模拟，是一种异步通信的方式。信号可以导致一个正在运行的进程被另一个正在运行的异步进程中断，转而处...,沧海一笑-dj,none,u_c_null,00.目录文章目录00.目录01.信号概述02.信号编号03.信号产生方式04.kill发送信号05.pause等待信号06.信号处理方式07.信号处理函数08.附录01.信号概述信号是Linux进程间通信的最古老的方式。信号是软件中断，它是在软件层次上对中断机制的一种模拟，是一种异步通信的方式。信号可以导致一个正在运行的进程被另一个正在运行的异步进程中断，转而处...,1573106722,1573106722,https://blog.csdn.net/dengjin20104042056,https://profile.csdnimg.cn/6/F/0/1_dengjin20104042056
0,,0,0,q465162770,0,1天前,1,false,对于大连个别面试官的一些想法把,blog,https://blog.csdn.net/q465162770/article/details/102916922,0,102916922,,,其它,68,也算对自己的一点提醒上周去软件园9号楼面试一家日企这里就不打算写名字了第一我和HR沟通了我是CS方向的会BS但是项目很少第二HR肯定会把简历给技术觉得可以才打电话面试好这是前提条件一进门说很不客气的说你把对日的BS的项目说一下我一看是个急性子行我就把保守的网站项目说了一下还有一个nodejs项目因为本社的东西...,小慧哥,none,u_c_null,也算对自己的一点提醒上周去软件园9号楼面试一家日企这里就不打算写名字了第一我和HR沟通了我是CS方向的会BS但是项目很少第二HR肯定会把简历给技术觉得可以才打电话面试好这是前提条件一进门说很不客气的说你把对日的BS的项目说一下我一看是个急性子行我就把保守的网站项目说了一下还有一个nodejs项目因为本社的东西...,1573106722,1573106722,https://blog.csdn.net/q465162770,https://profile.csdnimg.cn/5/B/B/1_q465162770
