comments,sub_title,downs,isexpert,user_name,quality_score,created_at,digg,recommend,title,type,url,sourcetype,id,tag,category,strategy,views,desc,nickname,category_id,strategy_id,summary,shown_offset,shown_time,user_url,avatar
4,,0,0,CPJ0310,0,18小时前,2,false,oracle数据库SQL开发之高级子查询,blog,https://blog.csdn.net/CPJ0310/article/details/102941451,0,102941451,,,其它,55,oracle数据库SQL开发之高级子查询一、嵌套子查询二、相关子查询（父查询中的行每被处理一次，子查询就执行一次）一、嵌套子查询•在通常的子查询中，子查询是以嵌套的方式写在父查询的where、having、from子句中，所以被称为嵌套子查询.•嵌套子查询的执行过程：–1.子查询首先执行一次；–2.用来自子查询的值确认或取消父查询的候选行;二、相关子查询（父查询中的行每被处理一...,CPJ0310,none,u_c_null,oracle数据库SQL开发之高级子查询一、嵌套子查询二、相关子查询（父查询中的行每被处理一次，子查询就执行一次）一、嵌套子查询&bull;在通常的子查询中，子查询是以嵌套的方式写在父查询的where、having、from子句中，所以被称为嵌套子查询.&bull;嵌套子查询的执行过程：&ndash;1.子查询首先执行一次；&ndash;2.用来自子查询的值确认或取消父查询的候选行;二、相关子查询（父查询中的行每被处理一...,1573106434,1573106434,https://blog.csdn.net/CPJ0310,https://profile.csdnimg.cn/D/3/F/1_cpj0310
0,,0,0,qq_31122833,0,2天前,2,false,Linux之CentOS7开启MySQL8主从备份、每日定时全量备份,blog,https://blog.csdn.net/qq_31122833/article/details/102910054,0,102910054,,,其它,104,备注1：解决连接MySQL数据库很慢的问题vim/etc/my.cnf添加内容：skip-name-resolve，重启数据库。备注2：(密码带!或其他特殊符合，前面加\，例如123!321--&gt;123\!321)1、主从备份主数据库：vim/etc/my.cnf[mysqld]下添加内容：server-id=1log-bin=mysql-binre...,小达哥的垃圾桶,none,u_c_null,备注1：解决连接MySQL数据库很慢的问题vim/etc/my.cnf添加内容：skip-name-resolve，重启数据库。备注2：(密码带!或其他特殊符合，前面加\，例如123!321--&amp;gt;123\!321)1、主从备份主数据库：vim/etc/my.cnf[mysqld]下添加内容：server-id=1log-bin=mysql-binre...,1573106434,1573106434,https://blog.csdn.net/qq_31122833,https://profile.csdnimg.cn/1/E/1/1_qq_31122833
26,,0,0,hollis_chuang,0,10月21日,143,true,不就是SELECT COUNT语句吗，竟然能被面试官虐的体无完肤,blog,https://blog.csdn.net/hollis_chuang/article/details/102657937,0,102657937,,,其它,23466,数据库查询相信很多人都不陌生，所有经常有人调侃程序员就是CRUD专员，这所谓的CRUD指的就是数据库的增删改查。在数据库的增删改查操作中，使用最频繁的就是查询操作。而在所有查询操作中，统计数量操作更是经常被用到。关于数据库中行数统计，无论是MySQL还是Oracle，都有一个函数可以使用，那就是COUNT。但是，就是这个常用的COUNT函数，却暗藏着很多玄机，尤其是在面试的时候，一不小心就会...,Hollis在csdn,none,u_c_null,数据库查询相信很多人都不陌生，所有经常有人调侃程序员就是CRUD专员，这所谓的CRUD指的就是数据库的增删改查。在数据库的增删改查操作中，使用最频繁的就是查询操作。而在所有查询操作中，统计数量操作更是经常被用到。关于数据库中行数统计，无论是MySQL还是Oracle，都有一个函数可以使用，那就是COUNT。但是，就是这个常用的COUNT函数，却暗藏着很多玄机，尤其是在面试的时候，一不小心就会...,1573106434,1573106434,https://blog.csdn.net/hollis_chuang,https://profile.csdnimg.cn/1/8/2/1_hollis_chuang
0,,0,0,LLL8552,0,2天前,3,false,mysql的一些操作方法小结,blog,https://blog.csdn.net/LLL8552/article/details/102908910,0,102908910,,,其它,106,"1.登录数据库输入：mysql-uroot-p紧接着会出现：password:输入设置的密码即可。注意：p后无“;”,如加上会出现错误。2.退出数据库输入：exit3.查看当前所有的数据库showdatabases;操作成功：QueryOK操作失败：error4.使用某数据库use数据库名;操作成功：Databasechanged5.查看当前所有表sho...",~君亦笑,none,u_c_null,"1.登录数据库输入：mysql-uroot-p紧接着会出现：password:输入设置的密码即可。注意：p后无&ldquo;;&rdquo;,如加上会出现错误。2.退出数据库输入：exit3.查看当前所有的数据库showdatabases;操作成功：QueryOK操作失败：error4.使用某数据库use数据库名;操作成功：Databasechanged5.查看当前所有表sho...",1573106434,1573106434,https://blog.csdn.net/LLL8552,https://profile.csdnimg.cn/C/E/B/1_lll8552
1,,0,0,lighter613,0,1天前,1,false,mysql 常见指令,blog,https://blog.csdn.net/lighter613/article/details/102931815,0,102931815,,,其它,23,mysql常见指令一.控制台连接数据库二.DDL(DataDefinitionLanguage)数据定义语言1.创建数据库​	2.显示所有数据库3.显示创建数据库的定义信息​	4.修改数据库的定义格式​	5.删除数据库​	6.查看正在使用的数据库​	7.使用/切换数据库​	8.创建表格式​	9.快速创建一个和表结构相同的表10.查看使用的数据库中所有的表​	11.查看表结构​	12.查看创建表...,朗里格儿浪,none,u_c_null,mysql常见指令一.控制台连接数据库二.DDL(DataDefinitionLanguage)数据定义语言1.创建数据库​	2.显示所有数据库3.显示创建数据库的定义信息​	4.修改数据库的定义格式​	5.删除数据库​	6.查看正在使用的数据库​	7.使用/切换数据库​	8.创建表格式​	9.快速创建一个和表结构相同的表10.查看使用的数据库中所有的表​	11.查看表结构​	12.查看创建表...,1573106434,1573106434,https://blog.csdn.net/lighter613,https://profile.csdnimg.cn/0/2/6/1_lighter613
0,,0,0,lookwind09,0,22小时前,0,false,WinCC连接MySQL,blog,https://blog.csdn.net/lookwind09/article/details/102935657,0,102935657,,,其它,62,1.测试环境系统：WindowsServer2008R2WinCC:V7.2MySQL：MySQL5.5.62CommunityServerWincc7.2MySQL5.5.62CommunityServer2.安装ODBC选择MySQLODBC版本安装和MySQL版本配套的ODBC。	因为WinCC7.2是32位软件，此处只能选择...,lookwind09,none,u_c_null,1.测试环境系统：WindowsServer2008R2WinCC:V7.2MySQL：MySQL5.5.62CommunityServerWincc7.2MySQL5.5.62CommunityServer2.安装ODBC选择MySQLODBC版本安装和MySQL版本配套的ODBC。	因为WinCC7.2是32位软件，此处只能选择...,1573106434,1573106434,https://blog.csdn.net/lookwind09,https://profile.csdnimg.cn/6/B/2/1_lookwind09
2,,0,0,weixin_45108087,0,10月28日,28,false,史上最全的mysql基础教程,blog,https://blog.csdn.net/weixin_45108087/article/details/102766281,0,102766281,,,其它,1091,启动与停止启动mysql服务sudo/usr/local/mysql/support-files/mysql.serverstart停止mysql服务sudo/usr/local/mysql/support-files/mysql.serverstop重启mysql服务sudo/usr/local/mysql/support-files/mysql.serverresta...,害羞的小猴子,none,u_c_null,启动与停止启动mysql服务sudo/usr/local/mysql/support-files/mysql.serverstart停止mysql服务sudo/usr/local/mysql/support-files/mysql.serverstop重启mysql服务sudo/usr/local/mysql/support-files/mysql.serverresta...,1573106434,1573106434,https://blog.csdn.net/weixin_45108087,https://profile.csdnimg.cn/8/A/F/1_weixin_45108087
0,,0,0,chenxianping,0,1天前,1,true,Oracle DB解析XML实例操作总结,blog,https://blog.csdn.net/chenxianping/article/details/102899492,0,102899492,,,其它,37,"OraclePLSQL调用第三方SOAPWebServices时，需要使Oracle内置一些XML解析函数，它可以很方便的解析SOAPWebServices返回XML内容，下面介绍常用XML内置函数和使用方法:EXTRACT(XMLType_instance,XPath_string,[namespace_string])用法	该函数用于获得XML某节点或某节点集	...",AlanChen,none,u_c_null,"OraclePLSQL调用第三方SOAPWebServices时，需要使Oracle内置一些XML解析函数，它可以很方便的解析SOAPWebServices返回XML内容，下面介绍常用XML内置函数和使用方法:EXTRACT(XMLType_instance,XPath_string,[namespace_string])用法	该函数用于获得XML某节点或某节点集	...",1573106434,1573106434,https://blog.csdn.net/chenxianping,https://profile.csdnimg.cn/B/7/8/1_chenxianping
0,,0,0,weixin_45348687,0,23小时前,3,false,SQL练习题,blog,https://blog.csdn.net/weixin_45348687/article/details/102895402,0,102895402,,,其它,33,参考：https://zhuanlan.zhihu.com/p/38354000再次感谢作者的整理！！常见的SQL面试题：经典50道已知有如下4张表：学生表：student（学号，学生姓名，出生年月，性别）成绩表：score（学号，课程号，成绩）课程表：course（课程号，课程名称，教师号）教师表：teacher（教师号，教师姓名）课程表：course成绩表：scor...,Deja vuu,none,u_c_null,参考：https://zhuanlan.zhihu.com/p/38354000再次感谢作者的整理！！常见的SQL面试题：经典50道已知有如下4张表：学生表：student（学号，学生姓名，出生年月，性别）成绩表：score（学号，课程号，成绩）课程表：course（课程号，课程名称，教师号）教师表：teacher（教师号，教师姓名）课程表：course成绩表：scor...,1573106434,1573106434,https://blog.csdn.net/weixin_45348687,https://profile.csdnimg.cn/B/2/E/1_weixin_45348687
0,,0,0,qq_34658021,0,18小时前,1,false,java:记一次因时区导致出参和入参时差8小时前因后果,blog,https://blog.csdn.net/qq_34658021/article/details/102940693,0,102940693,,,其它,12,本来是开开心心敲代码的一天，结果今天早上闲来无事去服务器查看下数据，咦，数据好像早于现实时间8小时注：当前时间为2019-11-0608:43:57然后初步判断是否是因为mysql数据库时区问题导致早8小时，于是查看数据库的时区数据库无误，然后问题定位到是否是服务器的时间，于是执行执行date命令查看服务器时间，也发现没问题。初步排除服务器和mysql数据库的问题。然后后...,秃头工程师,none,u_c_null,本来是开开心心敲代码的一天，结果今天早上闲来无事去服务器查看下数据，咦，数据好像早于现实时间8小时注：当前时间为2019-11-0608:43:57然后初步判断是否是因为mysql数据库时区问题导致早8小时，于是查看数据库的时区数据库无误，然后问题定位到是否是服务器的时间，于是执行执行date命令查看服务器时间，也发现没问题。初步排除服务器和mysql数据库的问题。然后后...,1573106434,1573106434,https://blog.csdn.net/qq_34658021,https://profile.csdnimg.cn/2/1/B/1_qq_34658021
