comments,sub_title,downs,isexpert,user_name,quality_score,created_at,digg,recommend,title,type,url,sourcetype,id,tag,category,strategy,views,desc,nickname,category_id,strategy_id,summary,shown_offset,shown_time,user_url,avatar
0,,0,0,qq_15267543,0,22小时前,3,false,FLV-java你所关心的，我这里都有。附源码。非FFmpeg相关，纯java人肉解析。手写FLV。H264 AAC转FLV,blog,https://blog.csdn.net/qq_15267543/article/details/102930590,0,102930590,,,其它,106,"第一次写博客，不知道有没有什么潜规则。总之呢，是好是坏都已经在落笔的那一刻开始了。说起直播，各位都不陌生，毕竟国内这几年直播，短视频等视频行业大火，让所有程序员对直播都能如数家珍，随口便能讲出几种协议：RTMP,RTSP,RTP,HLS,flv等等等。rtsp到目前还依旧火爆比如ipCamera各种监控摄像头比如海康之类的都是rtsp。说起RTMP和RTSP，不得不...",安卓界的小学生,none,u_c_null,"第一次写博客，不知道有没有什么潜规则。总之呢，是好是坏都已经在落笔的那一刻开始了。说起直播，各位都不陌生，毕竟国内这几年直播，短视频等视频行业大火，让所有程序员对直播都能如数家珍，随口便能讲出几种协议：RTMP,RTSP,RTP,HLS,flv等等等。rtsp到目前还依旧火爆比如ipCamera各种监控摄像头比如海康之类的都是rtsp。说起RTMP和RTSP，不得不...",1573106200,1573106200,https://blog.csdn.net/qq_15267543,https://profile.csdnimg.cn/6/E/1/1_qq_15267543
0,,0,0,uzing,0,2天前,0,false,抢先看！ Lumion 10 正式发布之核心功能预览,blog,https://blog.csdn.net/uzing/article/details/102913224,0,102913224,,,其它,240,官方发布的Lumion10核心新功能，抢先预览！,活力网,none,u_c_null,官方发布的Lumion10核心新功能，抢先预览！,1573106200,1573106200,https://blog.csdn.net/uzing,https://profile.csdnimg.cn/6/0/A/1_uzing
26,,0,0,nickDaDa,0,2天前,15,false,BeyondCompare 河蟹版,blog,https://blog.csdn.net/nickDaDa/article/details/88660749,0,88660749,,,其它,15541,相信很多人使用beyondCompare，都是使用破解码的方式，但是有时破解码会过期，或者根本找不到合适的破解码，附上免安装地址，如果失效可以联系我。打开是这个样子：可能和之前使用的样子不一样，缺少一栏工具栏，只需选择“视图”--&gt;“工具栏”勾选，即可。链接：https://pan.baidu.com/s/1FxR60SJfd6V6FvgwVNpxmg提...,nickDaDa,none,u_c_null,相信很多人使用beyondCompare，都是使用破解码的方式，但是有时破解码会过期，或者根本找不到合适的破解码，附上免安装地址，如果失效可以联系我。打开是这个样子：可能和之前使用的样子不一样，缺少一栏工具栏，只需选择&ldquo;视图&rdquo;--&amp;gt;&ldquo;工具栏&rdquo;勾选，即可。链接：https://pan.baidu.com/s/1FxR60SJfd6V6FvgwVNpxmg提...,1573106200,1573106200,https://blog.csdn.net/nickDaDa,https://profile.csdnimg.cn/4/A/6/1_nickdada
525,,0,0,qq_42453117,0,09月09日,2018,false,从入门到精通，Java学习路线导航,blog,https://blog.csdn.net/qq_42453117/article/details/100655512,0,100655512,,,其它,53826,"引言最近也有很多人来向我""请教""，他们大都是一些刚入门的新手，还不了解这个行业，也不知道从何学起，开始的时候非常迷茫，实在是每天回复很多人也很麻烦，所以在这里统一作个回复吧。Java学习路线当然，这里我只是说Java学习路线，因为自己就是学Java的，对Java理当很熟悉，对于其它方面，我也不是很了解。基础阶段首先是基础阶段，在基础阶段，我们必须掌握Java基础，Mysql数据库，Ora...",~wangweijun,none,u_c_null,引言最近也有很多人来向我&quot;请教&quot;，他们大都是一些刚入门的新手，还不了解这个行业，也不知道从何学起，开始的时候非常迷茫，实在是每天回复很多人也很麻烦，所以在这里统一作个回复吧。Java学习路线当然，这里我只是说Java学习路线，因为自己就是学Java的，对Java理当很熟悉，对于其它方面，我也不是很了解。基础阶段首先是基础阶段，在基础阶段，我们必须掌握Java基础，Mysql数据库，Ora...,1573106200,1573106200,https://blog.csdn.net/qq_42453117,https://profile.csdnimg.cn/F/B/3/1_qq_42453117
28,,0,0,sunnyzyq,0,7天前,60,true,Ngrok： 超简单的内网穿透，了解一下 ？,blog,https://blog.csdn.net/sunnyzyq/article/details/102833096,0,102833096,,,其它,3904,【1】什么是内网穿透？首先，我们生活中的网络从应用上可以分为内网和外网；内网就是你自己的网络环境，就你自己能访问，比如你本地测试进行的localhost；外网就不言而喻了，你看网页，视频等这些网址都是外网。那么什么又是内网穿透呢？简单的说就是通过访问一个外网地址，然后穿透到你的内网地址。【2】内网穿透有什么用？【情景1】假设你写了一个代码功能，本地测试已经OK，此...,sunnyzyq,none,u_c_null,【1】什么是内网穿透？首先，我们生活中的网络从应用上可以分为内网和外网；内网就是你自己的网络环境，就你自己能访问，比如你本地测试进行的localhost；外网就不言而喻了，你看网页，视频等这些网址都是外网。那么什么又是内网穿透呢？简单的说就是通过访问一个外网地址，然后穿透到你的内网地址。【2】内网穿透有什么用？【情景1】假设你写了一个代码功能，本地测试已经OK，此...,1573106200,1573106200,https://blog.csdn.net/sunnyzyq,https://profile.csdnimg.cn/A/7/3/1_sunnyzyq
0,,0,0,Maisie_Nan,0,1天前,1,false,专利查询官网,blog,https://blog.csdn.net/Maisie_Nan/article/details/102931569,0,102931569,,,其它,12,专利查询网址http://www.pss-system.gov.cn/sipopublicsearch/portal/uiIndex.shtmlhttp://www.sipo.gov.cnhttp://www.pss-system.gov.cn国知局专利检索（免费）http://www.sipo.gov.cn/zljs/国知局S系统（免费）http://www.pss-system.go...,Mein_Augenstern,none,u_c_null,专利查询网址http://www.pss-system.gov.cn/sipopublicsearch/portal/uiIndex.shtmlhttp://www.sipo.gov.cnhttp://www.pss-system.gov.cn国知局专利检索（免费）http://www.sipo.gov.cn/zljs/国知局S系统（免费）http://www.pss-system.go...,1573106200,1573106200,https://blog.csdn.net/Maisie_Nan,https://profile.csdnimg.cn/0/3/6/1_maisie_nan
0,,0,0,weixin_41122036,0,23小时前,1,false,论文撰写应该注意的问题,blog,https://blog.csdn.net/weixin_41122036/article/details/102934002,0,102934002,,,其它,7,"英文缩写第一次出现应该写出全称；例子：傅里叶变换(FourierTransform,FT)，之后再提到傅里叶变换，就可以直接使用FT。如图x所示，。（如图x所示后面加逗号或者句号不用冒号）。括号中的内容结尾处不需要加句号。参考文献中的作者名字、期刊名称要么都是全称，要么就是都是简写。如果作者名字的形式是姓氏+名字，那么注意英文文献作者也是这样的格式（格式统一即可）5.参考文献格式...",zzcse,none,u_c_null,"英文缩写第一次出现应该写出全称；例子：傅里叶变换(FourierTransform,FT)，之后再提到傅里叶变换，就可以直接使用FT。如图x所示，。（如图x所示后面加逗号或者句号不用冒号）。括号中的内容结尾处不需要加句号。参考文献中的作者名字、期刊名称要么都是全称，要么就是都是简写。如果作者名字的形式是姓氏+名字，那么注意英文文献作者也是这样的格式（格式统一即可）5.参考文献格式...",1573106200,1573106200,https://blog.csdn.net/weixin_41122036,https://profile.csdnimg.cn/A/8/B/1_weixin_41122036
0,,0,0,qq_21201267,0,1天前,1,false,LeetCode 594. 最长和谐子序列（map）,blog,https://blog.csdn.net/qq_21201267/article/details/102924359,0,102924359,,,其它,16,"文章目录1.题目2.解题2.1map+两次扫描2.2map+一次扫描1.题目和谐数组是指一个数组里元素的最大值和最小值之间的差别正好是1。现在，给定一个整数数组，你需要在所有可能的子序列中找到最长的和谐子序列的长度。示例1:输入:[1,3,2,2,5,2,3,7]输出:5原因:最长的和谐数组是：[3,2,2,2,3].说明:输入的数组长度最大不超过20,000....",Michael阿明,none,u_c_null,"文章目录1.题目2.解题2.1map+两次扫描2.2map+一次扫描1.题目和谐数组是指一个数组里元素的最大值和最小值之间的差别正好是1。现在，给定一个整数数组，你需要在所有可能的子序列中找到最长的和谐子序列的长度。示例1:输入:[1,3,2,2,5,2,3,7]输出:5原因:最长的和谐数组是：[3,2,2,2,3].说明:输入的数组长度最大不超过20,000....",1573106200,1573106200,https://blog.csdn.net/qq_21201267,https://profile.csdnimg.cn/7/0/0/1_qq_21201267
0,,0,0,white_156,0,1天前,1,false,量化器matlab实现,blog,https://blog.csdn.net/white_156/article/details/102925793,0,102925793,,,其它,10,"均匀量化器function[code,mistake]=QuantierEncode(audio,M)%UNTITLED此处显示有关此函数的摘要%此处显示详细说明%输入单声道信号，量化电平级数为M%对输入信号进行均匀量化并将量化结果转化为NRZbianry序列%返回二进制编码序列和每位量化误差len=length(audio...",white_156,none,u_c_null,"均匀量化器function[code,mistake]=QuantierEncode(audio,M)%UNTITLED此处显示有关此函数的摘要%此处显示详细说明%输入单声道信号，量化电平级数为M%对输入信号进行均匀量化并将量化结果转化为NRZbianry序列%返回二进制编码序列和每位量化误差len=length(audio...",1573106200,1573106200,https://blog.csdn.net/white_156,https://profile.csdnimg.cn/6/1/A/1_white_156
0,,0,0,weixin_45676801,0,23小时前,2,false,Syins写的快速排序,blog,https://blog.csdn.net/weixin_45676801/article/details/102934108,0,102934108,,,其它,13,快速排序，又叫快排采用了分治思想具体思想为：先在一串数随机（此处代码未进行随机找数，所以不算完整的快排，但足以体现快排如何实现）找一个数，通过i与j（分别从前到后，与从后往前）判断出这个数所在的的位置，将这个数放到这个位置（此时确保在这个数之前的所有数都比该数小，之后的所有的数都比该数大(这里假设是升序排)）然后再对前后的两串数进行如上算法直到剩下的数少到无需处理（即一个或零个）这里使用...,Syins,none,u_c_null,快速排序，又叫快排采用了分治思想具体思想为：先在一串数随机（此处代码未进行随机找数，所以不算完整的快排，但足以体现快排如何实现）找一个数，通过i与j（分别从前到后，与从后往前）判断出这个数所在的的位置，将这个数放到这个位置（此时确保在这个数之前的所有数都比该数小，之后的所有的数都比该数大(这里假设是升序排)）然后再对前后的两串数进行如上算法直到剩下的数少到无需处理（即一个或零个）这里使用...,1573106200,1573106200,https://blog.csdn.net/weixin_45676801,https://profile.csdnimg.cn/F/1/3/1_weixin_45676801
